,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
0,NDXP,21547.6992,NDXP250212C18200000,2025-02-12,-1,18200.0,call,0,0,3346.3574,0.0,no_change,3317.0,1,3386.7,1,0.0,0.0,0.0,3502.94995117188,0.0,0.0,2.7276,1.0,0.0,-0.0022,0.0004,0.0004
1,NDXP,21547.6992,NDXP250212P18200000,2025-02-12,-1,18200.0,put,61,0,0.0023,0.05,no_change,0.0,0,0.05,25,0.0,0.0,0.0,0.025000000372529,0.0,0.0,1.8092,0.0,0.0,-0.0022,0.0003,0.0
2,NDXP,21547.6992,NDXP250212C18225000,2025-02-12,-1,18225.0,call,0,0,3321.3577,0.0,no_change,3292.0,1,3361.7,1,0.0,0.0,0.0,3477.94995117188,0.0,0.0,2.7078,1.0,0.0,-0.0025,0.0003,-0.0005
3,NDXP,21547.6992,NDXP250212P18225000,2025-02-12,-1,18225.0,put,0,0,0.0024,0.0,no_change,0.0,0,0.05,25,0.0,0.0,0.0,0.0500000007450581,0.0,0.0,1.7953,0.0,0.0,-0.0024,0.0003,0.0
4,NDXP,21547.6992,NDXP250212C18250000,2025-02-12,-1,18250.0,call,0,0,3296.3579,0.0,no_change,3267.0,1,3336.7,1,0.0,0.0,0.0,3452.94995117188,0.0,0.0,2.688,1.0,0.0,-0.0027,0.0002,-0.0012
5,NDXP,21547.6992,NDXP250212P18250000,2025-02-12,-1,18250.0,put,50,0,0.0026,0.1,no_change,0.0,0,0.05,25,0.0,0.0,0.0,0.100000001490116,0.0,0.0,1.7814,0.0,0.0,-0.0026,0.0004,0.0
6,NDXP,21547.6992,NDXP250212C18275000,2025-02-12,-1,18275.0,call,0,0,3271.3579,0.0,no_change,3242.0,1,3311.7,1,0.0,0.0,0.0,3427.89990234375,0.0,0.0,2.6682,1.0,0.0,-0.0027,0.0004,0.0006
7,NDXP,21547.6992,NDXP250212P18275000,2025-02-12,-1,18275.0,put,0,0,0.0028,0.0,no_change,0.0,0,0.05,25,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.7676,0.0,0.0,-0.0028,0.0004,0.0
8,NDXP,21547.6992,NDXP250212C18300000,2025-02-12,-1,18300.0,call,0,0,3246.3582,0.0,no_change,3217.0,1,3286.7,1,0.0,0.0,0.0,3402.94995117188,0.0,0.0,2.6485,1.0,0.0,-0.003,0.0004,0.0001
9,NDXP,21547.6992,NDXP250212P18300000,2025-02-12,-1,18300.0,put,1,0,0.003,3.83,down,0.0,0,0.05,27,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.7537,0.0,0.0,-0.003,0.0004,0.0
