,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
0,NDXP,21014.0547,NDXP250203C17900000,2025-02-03,0,17900.0,call,0,0,3104.7685,0.0,no_change,3046.5,1,3165.9,3,0.0,0.0,0.0,3539.45007324219,0.0,0.0,2.2998,0.9998,0.0,-0.0423,0.0038,-0.0001
1,NDXP,21014.0547,NDXP250203P17900000,2025-02-03,0,17900.0,put,57,9,0.0423,0.05,no_change,0.0,0,0.05,30,0.25,0.25,0.05,0.200000006705523,-0.15,-0.75,1.7294,-0.0002,0.0,-0.0423,0.0038,0.0
2,NDXP,21014.0547,NDXP250203C17925000,2025-02-03,0,17925.0,call,0,0,3079.77,0.0,no_change,3021.5,1,3141.3,3,0.0,0.0,0.0,3514.45007324219,0.0,0.0,1.9081,0.9998,0.0,-0.0438,0.0038,-0.0008
3,NDXP,21014.0547,NDXP250203P17925000,2025-02-03,0,17925.0,put,21,9,0.0437,0.05,no_change,0.0,0,0.05,6,0.05,0.05,0.05,0.200000002980232,-0.15,-0.75,1.7151,-0.0002,0.0,-0.0437,0.0039,0.0
4,NDXP,21014.0547,NDXP250203C17950000,2025-02-03,0,17950.0,call,0,0,3054.7712,0.0,no_change,2995.3,1,3116.3,1,0.0,0.0,0.0,3489.45007324219,0.0,0.0,1.8925,0.9998,0.0,-0.045,0.0042,0.0012
5,NDXP,21014.0547,NDXP250203P17950000,2025-02-03,0,17950.0,put,0,0,0.0451,0.0,no_change,0.0,0,0.05,1,0.0,0.0,0.0,0.300000011920929,0.0,0.0,1.7009,-0.0002,0.0,-0.0451,0.0041,0.0
6,NDXP,21014.0547,NDXP250203C17975000,2025-02-03,0,17975.0,call,0,0,3029.7727,0.0,no_change,2971.5,1,3091.0,3,0.0,0.0,0.0,3464.45007324219,0.0,0.0,1.8768,0.9998,0.0,-0.0465,0.0043,0.0012
7,NDXP,21014.0547,NDXP250203P17975000,2025-02-03,0,17975.0,put,0,0,0.0466,0.0,no_change,0.0,0,0.2,16,0.0,0.0,0.0,0.300000011920929,0.0,0.0,1.848,-0.0002,0.0,-0.0466,0.0042,0.0
8,NDXP,21014.0547,NDXP250203C18000000,2025-02-03,0,18000.0,call,0,0,3004.7744,0.0,no_change,2946.5,1,3065.8,5,0.0,0.0,0.0,3439.45007324219,0.0,0.0,1.7939,0.9998,0.0,-0.0482,0.0043,-0.001
9,NDXP,21014.0547,NDXP250203P18000000,2025-02-03,0,18000.0,put,6,6,0.0481,0.05,no_change,0.0,0,0.2,16,0.05,0.05,0.05,0.450000017881393,-0.4,-0.888889,1.8326,-0.0002,0.0,-0.0481,0.0044,0.0
10,NDXP,21014.0547,NDXP250203C18025000,2025-02-03,0,18025.0,call,0,0,2979.7759,0.0,no_change,2921.5,1,3041.1,3,0.0,0.0,0.0,3414.45007324219,0.0,0.0,1.8456,0.9998,0.0,-0.0496,0.0045,-0.0002
11,NDXP,21014.0547,NDXP250203P18025000,2025-02-03,0,18025.0,put,0,0,0.0496,0.0,no_change,0.0,0,0.2,15,0.0,0.0,0.0,0.300000011920929,0.0,0.0,1.8173,-0.0002,0.0,-0.0496,0.0045,0.0
12,NDXP,21014.0547,NDXP250203C18050000,2025-02-03,0,18050.0,call,0,0,2954.7773,0.0,no_change,2896.5,1,3016.4,3,0.0,0.0,0.0,3389.5,0.0,0.0,1.83,0.9998,0.0,-0.0511,0.0047,0.0009
13,NDXP,21014.0547,NDXP250203P18050000,2025-02-03,0,18050.0,put,0,0,0.0512,0.0,no_change,0.0,0,0.2,15,0.0,0.0,0.0,0.324999988079071,0.0,0.0,1.8019,-0.0002,0.0,-0.0512,0.0047,0.0
14,NDXP,21014.0547,NDXP250203C18075000,2025-02-03,0,18075.0,call,0,0,2929.779,0.0,no_change,2871.5,1,2991.1,3,0.0,0.0,0.0,3364.5,0.0,0.0,1.8144,0.9998,0.0,-0.0528,0.0048,-0.0001
15,NDXP,21014.0547,NDXP250203P18075000,2025-02-03,0,18075.0,put,0,0,0.0528,0.0,no_change,0.0,0,0.2,15,0.0,0.0,0.0,0.324999988079071,0.0,0.0,1.7865,-0.0002,0.0,-0.0528,0.0048,0.0
16,NDXP,21014.0547,NDXP250203C18100000,2025-02-03,0,18100.0,call,0,0,2904.7808,0.0,no_change,2846.5,1,2966.4,3,0.0,0.0,0.0,3339.5,0.0,0.0,1.7989,0.9997,0.0,-0.0545,0.0049,-0.0006
17,NDXP,21014.0547,NDXP250203P18100000,2025-02-03,0,18100.0,put,1,0,0.0545,0.4,down,0.0,0,0.2,15,0.0,0.0,0.0,0.324999988079071,0.0,0.0,1.7712,-0.0003,0.0,-0.0545,0.005,0.0
18,NDXP,21014.0547,NDXP250203C18125000,2025-02-03,0,18125.0,call,0,0,2879.7825,0.0,no_change,2821.5,1,2941.4,5,0.0,0.0,0.0,3314.5,0.0,0.0,1.7833,0.9997,0.0,-0.0562,0.0051,-0.0007
19,NDXP,21014.0547,NDXP250203P18125000,2025-02-03,0,18125.0,put,0,0,0.0562,0.0,no_change,0.0,0,0.2,15,0.0,0.0,0.0,0.324999988079071,0.0,0.0,1.7558,-0.0003,0.0,-0.0562,0.0052,0.0
20,NDXP,21014.0547,NDXP250203C18150000,2025-02-03,0,18150.0,call,0,0,2854.7842,0.0,no_change,2796.5,1,2916.7,2,0.0,0.0,0.0,3289.54992675781,0.0,0.0,1.7035,0.9997,0.0,-0.0579,0.0053,-0.0004
21,NDXP,21014.0547,NDXP250203P18150000,2025-02-03,0,18150.0,put,1,0,0.0579,1.75,down,0.0,0,0.2,15,0.0,0.0,0.0,0.324999988079071,0.0,0.0,1.7405,-0.0003,0.0,-0.0579,0.0053,0.0
