Symbol
A
C
D
F
K
M
O
S
T
U
V
W
X
Z
H
G
R
B
L
J
E
BP
AA
AG
AI
AM
AN
AR
AU
AX
BA
BB
BE
BG
BJ
BK
BX
BZ
CC
CF
CG
CI
CL
DB
DD
DE
DG
DK
DM
DQ
DT
EA
EL
ET
EW
FL
GD
GE
GH
GM
GS
GT
HD
HL
IP
IQ
JD
KD
KO
KR
LC
LI
LU
LZ
MA
ME
MJ
MO
MP
MQ
MS
MT
MU
MX
NU
ON
PG
PM
QS
RF
RH
RL
SB
SD
SE
SG
SH
SM
SO
SQ
SU
TD
TH
UA
UL
VZ
WM
WU
WW
WY
XP
ZI
ZM
ZS
BN
CB
FE
PH
PR
FI
WH
PL
ZD
TT
LW
HE
BR
BW
DV
EH
PD
TM
NE
PI
BL
WK
SA
AY
CM
DH
CE
CP
CR
OC
RC
RS
OM
ED
ZG
NN
IT
WT
FF
AB
WB
GL
AP
AS
BC
BY
CW
CX
DX
DY
FM
FR
FV
GP
HP
HY
IR
KB
KN
KW
LE
NG
NR
NX
PB
RM
SN
SR
ST
TG
TR
TS
TU
UE
VB
VC
ZH
BV
EB
EG
EQ
ES
EU
FA
FG
FN
GK
GO
HG
HI
IE
KT
MC
NI
OR
PK
PP
PX
RY
SF
SY
TK
TV
TW
VO
VV
XT
ZK
WD
AL
EC
EE
GB
HR
KC
KE
LH
LX
MD
MG
OB
OI
QD
TX
UP
VT
WS
YQ
YY
SW
OS
CBO
CBX
IGZ
ZVV
ZZK
SPX
DJX
OEX
XEO
SPY
RUT
PBR
EWZ
DIA
IWM
EFA
EEM
QQQ
AAL
ABR
ABT
ACB
ACI
ACN
ADI
ADM
ADP
AEM
AEO
AEP
AES
AFL
AGI
AGL
AGQ
AIG
ALB
ALK
ALT
AMC
AMD
AMR
AMT
ANY
ANF
APA
APD
APO
APP
ASO
AXL
AXP
AZN
AZO
BAC
BAM
BAX
BBD
BBY
BCS
BDX
BGS
BHC
BHP
BKR
BLK
BMY
BNO
BNS
BOX
BPT
BSM
BSX
BTI
BTU
BUD
BYD
CAG
CAH
CAL
CAN
CAR
CAT
CCI
CCJ
CCL
CEG
CFG
CGC
CIM
CLF
CLX
CME
CNC
CNK
CNQ
CNX
COF
COP
CPB
CRK
CRM
CSX
CVE
CVS
CVX
CYH
CWH
CZR
DAC
DAL
DBA
DBC
DBX
DDD
DFS
DHI
DHR
DHT
DIS
DLO
DKS
DLR
DNA
DNN
DOW
DPZ
DRI
DRV
DTC
DUK
DVA
DVN
EAT
EGO
EGY
ELV
EMB
EMR
ENB
EPD
EQX
EQT
ERJ
ERX
ETN
EWC
EWG
EWI
EWJ
EWT
EWU
EWY
EXC
FAS
FAZ
FCX
FDX
FEZ
FIS
FLR
FND
FRO
FSK
FSM
FTI
FXE
FXI
FXY
GDS
GDX
GEO
GFI
GFS
GIS
GLD
GLW
GME
GPN
GSG
GSK
GSM
GSL
GTE
HAL
HAS
HBI
HCA
HCP
HES
HLT
HOG
HON
HPE
HPQ
HRB
HRL
HSY
HTZ
HUM
HUN
HUT
HYG
IAU
IBB
IBM
ICE
IEF
IEP
IGT
IHI
INO
IOT
IRM
ITB
IVR
IVV
IVZ
IWO
IYR
JCI
JEF
JKS
JNJ
JNK
JPM
JWN
KBH
KDP
KEY
KGC
KHC
KKR
KMB
KMI
KMX
KOD
KOS
KRE
KSS
KZR
LAC
LEN
LIN
LIT
LLY
LMT
LNG
LOW
LPX
LQD
LUV
LVS
LYB
LYV
MAC
MAR
MAT
MBB
MBI
MCD
MCK
MDB
MDT
MET
MFA
MGM
MMM
MPC
MPW
MRK
NAT
NEE
NEM
NET
NIO
NKE
NLY
NMM
NOC
NOG
NOK
NOW
NRG
NSC
NTR
NUE
NVO
NVS
NWL
OHI
OIH
OKE
OLN
OVV
OXY
PAA
PAR
PBF
PCG
PCT
PDD
PEP
PFE
PGR
PHM
PLD
